Date,Price,Open,High,Low,Vol.,Change %
04/30/2015,235.8,225.4,240,224.7,112.24K,4.59%
04/29/2015,225.4,225.8,227.2,222.3,60.89K,-0.17%
04/28/2015,225.8,229,229.9,222,65.97K,-1.38%
04/27/2015,229,218.7,242.6,216.6,123.41K,4.69%
04/26/2015,218.7,226.1,226.7,214.1,100.77K,-3.29%
04/25/2015,226.1,231.1,232.3,223.1,43.78K,-2.14%
04/24/2015,231.1,235.4,236.6,229.1,69.78K,-1.83%
04/23/2015,235.4,233.8,236.1,232.6,42.45K,0.69%
04/22/2015,233.8,233.7,238.4,231.8,77.56K,0.02%
04/21/2015,233.7,224.2,235.3,223.3,68.35K,4.23%
04/20/2015,224.2,223,226.7,221.6,44.87K,0.55%
04/19/2015,223,223.4,226.9,222,35.50K,-0.15%
04/18/2015,223.4,222.6,224.5,220.6,36.54K,0.34%
04/17/2015,222.6,228,229.3,220.6,66.92K,-2.36%
04/16/2015,228,223,229.5,222.9,84.89K,2.25%
04/15/2015,223,218,223.6,217.1,77.23K,2.28%
04/14/2015,218,223.6,224.7,214.3,115.19K,-2.50%
04/13/2015,223.6,235.9,236.8,220.4,105.15K,-5.20%
04/12/2015,235.9,236.5,237.5,232.3,33.03K,-0.27%
04/11/2015,236.5,234.7,240,233.1,51.99K,0.75%
04/10/2015,234.7,243.3,244.1,231.3,100.20K,-3.53%
04/09/2015,243.3,244.6,246.2,237.6,69.19K,-0.51%
04/08/2015,244.6,253,254.3,242.6,102.65K,-3.32%
04/07/2015,253,255,255.6,250.1,44.79K,-0.78%
04/06/2015,255,259.6,261.5,252.3,45.93K,-1.80%
04/05/2015,259.6,252.9,260.3,250.6,43.83K,2.67%
04/04/2015,252.9,254.5,255.2,250.3,30.72K,-0.62%
04/03/2015,254.5,252.6,256.5,251.3,71.74K,0.74%
04/02/2015,252.6,246.2,254.9,244.3,81.37K,2.58%
04/01/2015,246.2,244.1,247.7,239.6,67.08K,0.86%
03/31/2015,244.1,246.8,248.7,241.2,75.33K,-1.07%
03/30/2015,246.8,242.1,248.8,236.6,85.33K,1.95%
03/29/2015,242.1,252,252.8,238.9,77.54K,-3.94%
03/28/2015,252,247.2,254.3,246.3,55.06K,1.95%
03/27/2015,247.2,248,250.1,244.5,62.56K,-0.33%
03/26/2015,248,246.4,254.7,243.5,89.47K,0.67%
03/25/2015,246.4,246.7,249.2,234.8,131.44K,-0.14%
03/24/2015,246.7,265.5,267,242.7,151.09K,-7.06%
03/23/2015,265.5,268.6,271,259.4,81.45K,-1.16%
03/22/2015,268.6,259.7,270.4,259,56.63K,3.41%
03/21/2015,259.7,261.8,263.3,254,51.65K,-0.79%
